,Latitude,Longitude,Ratings
2,41.8758102,-87.6264489,4.6
10,41.8793216,-87.668978,4.3
12,41.9661908,-87.6575728,3.9
13,41.8851301,-87.62376119999999,4.4
14,41.9567073,-87.6552932,3.9
15,41.8582372,-87.6473003,4.5
18,41.864247,-87.646698,3.3
20,41.88615370000001,-87.63150089999999,4.0
21,41.7992576,-87.5919425,4.0
23,41.859038,-87.6604878,4.5
26,41.8150512,-87.70218369999999,4.5
27,41.8657151,-87.646644,3.9
28,41.953879,-87.6686892,4.4
29,41.8855837,-87.6289723,3.2
32,41.881173,-87.63407,4.2
34,41.8693407,-87.6550994,4.7
36,41.8526229,-87.61195769999999,5.0
38,41.8855837,-87.6289723,3.2
39,41.929401,-87.642941,4.6
40,41.89147699999999,-87.6308169,4.5
41,41.8713611,-87.686359,3.9
42,41.89147699999999,-87.6308169,4.5
45,41.8372691,-87.7100626,4.6
46,41.8855837,-87.6289723,3.2
47,41.954213,-87.66669399999999,4.3
48,41.85236039999999,-87.6327204,3.9
49,41.816464,-87.64070099999999,3.7
50,41.88728769999999,-87.6248481,4.2
51,41.881173,-87.63407,4.2
52,41.9112352,-87.6785789,3.3
53,41.8915982,-87.6252265,4.5
54,41.9598287,-87.70800679999999,4.5
57,41.9100751,-87.7219527,3.9
58,41.885886,-87.64845,4.7
59,41.9483892,-87.6692192,4.5
62,41.896391,-87.66479729999999,5.0
64,41.89147699999999,-87.6308169,4.5
66,41.9395207,-87.70381569999999,4.6
67,41.9684246,-87.7245494,4.4
68,41.896391,-87.66479729999999,5.0
69,41.8519212,-87.6802835,4.4
70,41.909764,-87.71766699999999,4.8
71,41.89147699999999,-87.6308169,4.5
72,41.8849988,-87.6260095,3.4
75,41.88615370000001,-87.63150089999999,4.0
77,41.8980085,-87.6872161,4.8
78,41.9016954,-87.6274084,4.5
79,41.85230139999999,-87.6795046,4.6
80,41.8865711,-87.64942459999999,4.5
81,41.87703399999999,-87.6554927,4.4
82,41.8865711,-87.64942459999999,4.5
83,41.8959277,-87.68958219999999,4.5
84,41.88615370000001,-87.63150089999999,4.0
87,41.8822079,-87.6403929,2.9
89,41.8822079,-87.6403929,2.9
90,41.9543277,-87.65528660000001,4.5
96,41.9680505,-87.7222307,4.6
98,41.9132143,-87.74512969999999,3.9
100,41.968573,-87.710644,4.3
102,41.968573,-87.710644,4.3
103,41.96866139999999,-87.7094887,4.0
104,41.8754341,-87.627288,4.1
107,41.880939,-87.63056279999999,3.9
108,41.88615370000001,-87.63150089999999,4.0
110,41.84951849999999,-87.7439359,3.8
111,41.9039881,-87.63414949999999,4.5
113,41.7993858,-87.5862277,4.3
114,41.9398421,-87.7429494,3.9
116,41.9128179,-87.6815051,4.7
119,41.8855837,-87.6289723,3.2
121,41.9394771,-87.6782003,4.6
123,41.884028,-87.639974,4.1
124,41.9322209,-87.648727,4.4
125,41.9322209,-87.648727,4.4
126,41.887583,-87.62492999999999,4.3
128,41.9112352,-87.6785789,3.3
129,41.9095013,-87.63500379999999,4.0
130,41.9095013,-87.63500379999999,4.0
131,41.8526801,-87.62462239999999,3.7
132,41.8526801,-87.62462239999999,3.7
133,41.9687614,-87.7172377,4.9
136,41.9174989,-87.7079705,4.6
137,41.9174989,-87.7079705,4.6
138,41.900523,-87.6260999,4.4
139,41.86867280000001,-87.6260911,4.6
140,41.88615370000001,-87.63150089999999,4.0
142,41.900523,-87.6260999,4.4
143,41.7996833,-87.7347779,4.3
145,41.7996833,-87.7347779,4.3
146,41.9323607,-87.6981892,4.0
147,41.8715623,-87.6272729,4.5
148,41.8855837,-87.6289723,3.2
149,41.8855837,-87.6289723,3.2
150,41.8855837,-87.6289723,3.2
151,41.9378686,-87.64417189999999,4.4
156,41.9544097,-87.6777563,4.5
157,41.8369474,-87.7314457,4.4
158,41.85236039999999,-87.6327204,3.9
159,41.8855837,-87.6289723,3.2
160,41.8526272,-87.6548779,4.0
162,41.8898705,-87.63035769999999,4.4
164,41.8898705,-87.63035769999999,4.4
166,41.877864,-87.64215949999999,4.6
167,41.8747174,-87.62730669999999,4.1
168,41.8833458,-87.62549990000001,3.9
169,41.9142524,-87.63496320000002,4.4
170,41.8526775,-87.6558414,4.1
172,41.909939,-87.70900499999999,4.5
174,41.9172726,-87.7361372,4.2
175,41.9661908,-87.6575728,3.9
176,41.9101385,-87.7171655,4.4
177,41.9297938,-87.6551683,4.6
178,41.9176131,-87.7013187,4.5
179,41.9176131,-87.7013187,4.5
180,41.797133,-87.588225,4.0
181,41.93980699999999,-87.653565,4.5
182,41.84951849999999,-87.7439359,3.8
183,41.9297938,-87.6551683,4.6
184,41.92431699999999,-87.723226,4.1
188,41.8822079,-87.6403929,2.9
189,41.8855837,-87.6289723,3.2
191,41.7935302,-87.69437169999999,4.2
193,41.7935302,-87.69437169999999,4.2
194,41.9483892,-87.6692192,4.5
195,41.9101942,-87.6348616,3.9
198,41.9100788,-87.72979889999999,4.1
